dir,start_time_utc,end_time_utc,bars,net_pts,span_pts,efficiency_%,mae_pts,start_close,end_close,start_time_london,end_time_london
DOWN,2025-01-28 16:19:00+00:00,2025-01-28 16:58:00+00:00,40,-122.4,217.0,56.4,10.6,44932.4,44810.0,2025-01-28 16:19:00+00:00,2025-01-28 16:58:00+00:00
UP,2025-01-29 14:11:00+00:00,2025-01-29 14:54:00+00:00,44,75.1,143.6,52.3,4.5,44796.9,44872.0,2025-01-29 14:11:00+00:00,2025-01-29 14:54:00+00:00
DOWN,2025-01-29 17:29:00+00:00,2025-01-29 18:23:00+00:00,55,-81.0,200.6,40.4,15.0,44860.0,44779.0,2025-01-29 17:29:00+00:00,2025-01-29 18:23:00+00:00
DOWN,2025-01-29 18:57:00+00:00,2025-01-29 19:31:00+00:00,35,-128.0,210.0,61.0,10.0,44781.0,44653.0,2025-01-29 18:57:00+00:00,2025-01-29 19:31:00+00:00
UP,2025-01-30 14:27:00+00:00,2025-01-30 15:01:00+00:00,35,141.5,248.6,56.9,29.5,44658.9,44800.4,2025-01-30 14:27:00+00:00,2025-01-30 15:01:00+00:00
UP,2025-01-30 16:28:00+00:00,2025-01-30 17:11:00+00:00,44,82.0,150.6,54.4,27.6,44780.0,44862.0,2025-01-30 16:28:00+00:00,2025-01-30 17:11:00+00:00
UP,2025-01-30 17:50:00+00:00,2025-01-30 19:03:00+00:00,74,146.0,193.4,75.5,8.4,44822.4,44968.4,2025-01-30 17:50:00+00:00,2025-01-30 19:03:00+00:00
DOWN,2025-01-31 18:13:00+00:00,2025-01-31 19:27:00+00:00,75,-259.0,389.4,66.5,12.0,44891.0,44632.0,2025-01-31 18:13:00+00:00,2025-01-31 19:27:00+00:00
DOWN,2025-01-31 20:54:00+00:00,2025-02-03 13:02:00+00:00,125,-654.1,714.6,91.5,23.0,44530.6,43876.5,2025-01-31 20:54:00+00:00,2025-02-03 13:02:00+00:00
UP,2025-02-03 18:44:00+00:00,2025-02-03 19:35:00+00:00,52,86.4,145.0,59.6,20.6,44429.6,44516.0,2025-02-03 18:44:00+00:00,2025-02-03 19:35:00+00:00
DOWN,2025-02-03 20:51:00+00:00,2025-02-04 12:05:00+00:00,71,-179.0,241.1,74.2,25.6,44472.0,44293.0,2025-02-03 20:51:00+00:00,2025-02-04 12:05:00+00:00
UP,2025-02-04 19:01:00+00:00,2025-02-04 19:58:00+00:00,58,89.0,138.4,64.3,19.4,44462.0,44551.0,2025-02-04 19:01:00+00:00,2025-02-04 19:58:00+00:00
UP,2025-02-05 15:17:00+00:00,2025-02-05 16:15:00+00:00,59,101.0,164.0,61.6,34.4,44463.0,44564.0,2025-02-05 15:17:00+00:00,2025-02-05 16:15:00+00:00
UP,2025-02-05 16:26:00+00:00,2025-02-05 17:20:00+00:00,55,72.0,162.0,44.4,34.0,44571.0,44643.0,2025-02-05 16:26:00+00:00,2025-02-05 17:20:00+00:00
UP,2025-02-05 18:28:00+00:00,2025-02-05 19:41:00+00:00,74,100.0,137.0,73.0,12.0,44699.0,44799.0,2025-02-05 18:28:00+00:00,2025-02-05 19:41:00+00:00
DOWN,2025-02-06 19:19:00+00:00,2025-02-06 19:48:00+00:00,30,-74.0,171.6,43.1,9.6,44692.0,44618.0,2025-02-06 19:19:00+00:00,2025-02-06 19:48:00+00:00
UP,2025-02-06 20:37:00+00:00,2025-02-07 12:04:00+00:00,84,102.5,133.0,77.1,11.0,44670.0,44772.5,2025-02-06 20:37:00+00:00,2025-02-07 12:04:00+00:00
DOWN,2025-02-07 15:38:00+00:00,2025-02-07 16:17:00+00:00,40,-134.6,301.0,44.7,18.4,44660.6,44526.0,2025-02-07 15:38:00+00:00,2025-02-07 16:17:00+00:00
DOWN,2025-02-07 18:40:00+00:00,2025-02-07 19:37:00+00:00,58,-113.0,178.0,63.5,29.0,44438.0,44325.0,2025-02-07 18:40:00+00:00,2025-02-07 19:37:00+00:00
UP,2025-02-10 12:03:00+00:00,2025-02-10 14:15:00+00:00,133,87.5,118.0,74.2,10.0,44453.1,44540.6,2025-02-10 12:03:00+00:00,2025-02-10 14:15:00+00:00
UP,2025-02-11 15:19:00+00:00,2025-02-11 16:49:00+00:00,91,155.6,205.6,75.7,12.0,44347.4,44503.0,2025-02-11 15:19:00+00:00,2025-02-11 16:49:00+00:00
UP,2025-02-11 19:20:00+00:00,2025-02-11 20:41:00+00:00,82,111.6,165.2,67.6,14.6,44511.6,44623.2,2025-02-11 19:20:00+00:00,2025-02-11 20:41:00+00:00
UP,2025-02-12 15:16:00+00:00,2025-02-12 16:03:00+00:00,48,97.0,196.6,49.3,24.0,44215.2,44312.2,2025-02-12 15:16:00+00:00,2025-02-12 16:03:00+00:00
DOWN,2025-02-12 16:04:00+00:00,2025-02-12 16:38:00+00:00,35,-84.0,177.4,47.4,17.0,44304.2,44220.2,2025-02-12 16:04:00+00:00,2025-02-12 16:38:00+00:00
UP,2025-02-12 16:39:00+00:00,2025-02-12 17:41:00+00:00,63,179.0,246.6,72.6,10.0,44224.2,44403.2,2025-02-12 16:39:00+00:00,2025-02-12 17:41:00+00:00
DOWN,2025-02-13 20:49:00+00:00,2025-02-14 11:55:00+00:00,63,-183.2,236.6,77.4,12.4,44760.6,44577.4,2025-02-13 20:49:00+00:00,2025-02-14 11:55:00+00:00
DOWN,2025-02-14 19:47:00+00:00,2025-02-14 20:53:00+00:00,67,-71.6,118.0,60.7,3.4,44603.8,44532.2,2025-02-14 19:47:00+00:00,2025-02-14 20:53:00+00:00
DOWN,2025-02-18 13:50:00+00:00,2025-02-18 15:26:00+00:00,97,-187.0,245.9,76.0,1.5,44606.6,44419.6,2025-02-18 13:50:00+00:00,2025-02-18 15:26:00+00:00
UP,2025-02-18 15:27:00+00:00,2025-02-18 16:12:00+00:00,46,72.6,127.6,56.9,16.0,44434.6,44507.2,2025-02-18 15:27:00+00:00,2025-02-18 16:12:00+00:00
DOWN,2025-02-18 18:52:00+00:00,2025-02-18 19:40:00+00:00,49,-74.6,152.0,49.1,7.0,44446.2,44371.6,2025-02-18 18:52:00+00:00,2025-02-18 19:40:00+00:00
UP,2025-02-18 19:41:00+00:00,2025-02-19 11:24:00+00:00,100,99.4,159.4,62.4,15.4,44383.6,44483.0,2025-02-18 19:41:00+00:00,2025-02-19 11:24:00+00:00
UP,2025-02-19 18:25:00+00:00,2025-02-19 20:06:00+00:00,102,166.6,212.6,78.4,8.0,44390.8,44557.4,2025-02-19 18:25:00+00:00,2025-02-19 20:06:00+00:00
DOWN,2025-02-20 14:39:00+00:00,2025-02-20 17:05:00+00:00,147,-472.0,538.0,87.7,21.0,44471.2,43999.2,2025-02-20 14:39:00+00:00,2025-02-20 17:05:00+00:00
UP,2025-02-20 20:44:00+00:00,2025-02-21 11:44:00+00:00,57,92.5,128.4,72.0,12.4,44129.2,44221.7,2025-02-20 20:44:00+00:00,2025-02-21 11:44:00+00:00
DOWN,2025-02-21 14:27:00+00:00,2025-02-21 15:16:00+00:00,50,-155.5,245.9,63.2,33.0,43951.7,43796.2,2025-02-21 14:27:00+00:00,2025-02-21 15:16:00+00:00
DOWN,2025-02-21 17:08:00+00:00,2025-02-21 19:08:00+00:00,121,-324.6,391.6,82.9,20.0,43794.6,43470.0,2025-02-21 17:08:00+00:00,2025-02-21 19:08:00+00:00
DOWN,2025-02-21 19:15:00+00:00,2025-02-21 19:49:00+00:00,35,-83.0,156.0,53.2,22.0,43480.0,43397.0,2025-02-21 19:15:00+00:00,2025-02-21 19:49:00+00:00
DOWN,2025-02-24 12:46:00+00:00,2025-02-24 14:31:00+00:00,106,-99.0,150.9,65.6,10.5,43714.0,43615.0,2025-02-24 12:46:00+00:00,2025-02-24 14:31:00+00:00
UP,2025-02-24 16:03:00+00:00,2025-02-24 16:55:00+00:00,53,114.0,185.4,61.5,24.4,43459.0,43573.0,2025-02-24 16:03:00+00:00,2025-02-24 16:55:00+00:00
UP,2025-02-24 17:00:00+00:00,2025-02-24 17:58:00+00:00,59,73.0,152.0,48.0,31.0,43572.0,43645.0,2025-02-24 17:00:00+00:00,2025-02-24 17:58:00+00:00
DOWN,2025-02-24 20:37:00+00:00,2025-02-25 11:42:00+00:00,62,-172.0,284.1,60.5,9.6,43608.0,43436.0,2025-02-24 20:37:00+00:00,2025-02-25 11:42:00+00:00
UP,2025-02-25 11:43:00+00:00,2025-02-25 13:59:00+00:00,137,125.0,160.5,77.9,15.0,43451.0,43576.0,2025-02-25 11:43:00+00:00,2025-02-25 13:59:00+00:00
DOWN,2025-02-25 14:51:00+00:00,2025-02-25 15:37:00+00:00,47,-225.0,341.0,66.0,19.0,43611.0,43386.0,2025-02-25 14:51:00+00:00,2025-02-25 15:37:00+00:00
UP,2025-02-25 17:24:00+00:00,2025-02-25 18:24:00+00:00,61,183.0,292.0,62.7,13.0,43446.6,43629.6,2025-02-25 17:24:00+00:00,2025-02-25 18:24:00+00:00
DOWN,2025-02-25 18:59:00+00:00,2025-02-25 19:33:00+00:00,35,-76.0,139.0,54.7,21.0,43608.6,43532.6,2025-02-25 18:59:00+00:00,2025-02-25 19:33:00+00:00
UP,2025-02-25 19:37:00+00:00,2025-02-25 20:34:00+00:00,58,127.0,235.0,54.0,30.4,43586.6,43713.6,2025-02-25 19:37:00+00:00,2025-02-25 20:34:00+00:00
UP,2025-02-26 14:48:00+00:00,2025-02-26 15:57:00+00:00,70,161.8,237.2,68.2,30.0,43677.6,43839.4,2025-02-26 14:48:00+00:00,2025-02-26 15:57:00+00:00
UP,2025-02-26 19:18:00+00:00,2025-02-26 19:55:00+00:00,38,72.0,136.0,52.9,11.0,43393.4,43465.4,2025-02-26 19:18:00+00:00,2025-02-26 19:55:00+00:00
UP,2025-02-26 20:52:00+00:00,2025-02-27 11:35:00+00:00,40,76.4,129.9,58.8,22.0,43482.4,43558.8,2025-02-26 20:52:00+00:00,2025-02-27 11:35:00+00:00
UP,2025-02-27 15:07:00+00:00,2025-02-27 15:56:00+00:00,50,210.0,359.0,58.5,27.0,43568.4,43778.4,2025-02-27 15:07:00+00:00,2025-02-27 15:56:00+00:00
DOWN,2025-02-27 16:36:00+00:00,2025-02-27 17:25:00+00:00,50,-155.8,271.8,57.3,24.0,43806.4,43650.6,2025-02-27 16:36:00+00:00,2025-02-27 17:25:00+00:00
DOWN,2025-02-27 18:58:00+00:00,2025-02-27 20:55:00+00:00,118,-453.0,474.6,95.4,12.0,43723.6,43270.6,2025-02-27 18:58:00+00:00,2025-02-27 20:55:00+00:00
UP,2025-02-28 19:22:00+00:00,2025-02-28 20:34:00+00:00,73,229.4,326.6,70.2,22.6,43264.0,43493.4,2025-02-28 19:22:00+00:00,2025-02-28 20:34:00+00:00
UP,2025-02-28 20:36:00+00:00,2025-03-03 12:30:00+00:00,111,486.8,547.2,89.0,27.4,43496.4,43983.2,2025-02-28 20:36:00+00:00,2025-03-03 12:30:00+00:00
DOWN,2025-03-03 17:50:00+00:00,2025-03-03 18:59:00+00:00,70,-308.0,401.0,76.8,7.0,43772.2,43464.2,2025-03-03 17:50:00+00:00,2025-03-03 18:59:00+00:00
DOWN,2025-03-03 19:46:00+00:00,2025-03-03 20:51:00+00:00,66,-439.4,598.4,73.4,25.0,43481.2,43041.8,2025-03-03 19:46:00+00:00,2025-03-03 20:51:00+00:00
DOWN,2025-03-04 11:53:00+00:00,2025-03-04 13:14:00+00:00,82,-132.0,174.0,75.9,17.0,43130.2,42998.2,2025-03-04 11:53:00+00:00,2025-03-04 13:14:00+00:00
UP,2025-03-04 17:08:00+00:00,2025-03-04 17:49:00+00:00,42,101.6,168.0,60.5,24.0,42497.0,42598.6,2025-03-04 17:08:00+00:00,2025-03-04 17:49:00+00:00
UP,2025-03-04 19:35:00+00:00,2025-03-04 20:29:00+00:00,55,125.0,256.4,48.8,27.4,42856.0,42981.0,2025-03-04 19:35:00+00:00,2025-03-04 20:29:00+00:00
DOWN,2025-03-05 11:48:00+00:00,2025-03-05 12:34:00+00:00,47,-104.5,190.0,55.0,9.0,42750.5,42646.0,2025-03-05 11:48:00+00:00,2025-03-05 12:34:00+00:00
DOWN,2025-03-05 13:12:00+00:00,2025-03-05 14:13:00+00:00,62,-117.0,182.0,64.3,29.5,42612.0,42495.0,2025-03-05 13:12:00+00:00,2025-03-05 14:13:00+00:00
UP,2025-03-05 18:46:00+00:00,2025-03-05 19:58:00+00:00,73,316.8,401.2,79.0,20.4,42737.0,43053.8,2025-03-05 18:46:00+00:00,2025-03-05 19:58:00+00:00
DOWN,2025-03-06 14:20:00+00:00,2025-03-06 14:49:00+00:00,30,-121.9,243.9,50.0,21.0,42611.3,42489.4,2025-03-06 14:20:00+00:00,2025-03-06 14:49:00+00:00
UP,2025-03-06 15:02:00+00:00,2025-03-06 15:53:00+00:00,52,328.0,417.4,78.6,26.0,42528.4,42856.4,2025-03-06 15:02:00+00:00,2025-03-06 15:53:00+00:00
UP,2025-03-06 20:48:00+00:00,2025-03-07 11:50:00+00:00,59,81.4,138.0,59.0,26.6,42560.6,42642.0,2025-03-06 20:48:00+00:00,2025-03-07 11:50:00+00:00
DOWN,2025-03-07 12:18:00+00:00,2025-03-07 13:25:00+00:00,68,-76.5,123.5,61.9,22.5,42635.5,42559.0,2025-03-07 12:18:00+00:00,2025-03-07 13:25:00+00:00
DOWN,2025-03-07 13:45:00+00:00,2025-03-07 14:31:00+00:00,47,-154.9,248.0,62.5,16.5,42595.5,42440.6,2025-03-07 13:45:00+00:00,2025-03-07 14:31:00+00:00
DOWN,2025-03-07 16:00:00+00:00,2025-03-07 16:59:00+00:00,60,-226.6,346.0,65.5,34.0,42477.6,42251.0,2025-03-07 16:00:00+00:00,2025-03-07 16:59:00+00:00
DOWN,2025-03-10 11:00:00+00:00,2025-03-10 12:41:00+00:00,102,-99.0,170.0,58.2,19.5,42396.6,42297.6,2025-03-10 11:00:00+00:00,2025-03-10 12:41:00+00:00
DOWN,2025-03-10 15:39:00+00:00,2025-03-10 16:13:00+00:00,35,-95.0,182.4,52.1,35.0,42414.6,42319.6,2025-03-10 15:39:00+00:00,2025-03-10 16:13:00+00:00
DOWN,2025-03-10 16:52:00+00:00,2025-03-10 19:14:00+00:00,143,-535.0,685.0,78.1,26.0,42280.8,41745.8,2025-03-10 16:52:00+00:00,2025-03-10 19:14:00+00:00
DOWN,2025-03-11 12:28:00+00:00,2025-03-11 13:59:00+00:00,92,-355.9,422.9,84.2,23.0,42009.7,41653.8,2025-03-11 12:28:00+00:00,2025-03-11 13:59:00+00:00
DOWN,2025-03-11 15:57:00+00:00,2025-03-11 17:40:00+00:00,104,-303.4,384.4,78.9,27.0,41532.2,41228.8,2025-03-11 15:57:00+00:00,2025-03-11 17:40:00+00:00
UP,2025-03-11 17:59:00+00:00,2025-03-11 19:14:00+00:00,76,391.2,552.2,70.8,23.0,41281.8,41673.0,2025-03-11 17:59:00+00:00,2025-03-11 19:14:00+00:00
UP,2025-03-12 15:24:00+00:00,2025-03-12 16:39:00+00:00,76,256.2,349.8,73.2,32.6,41152.4,41408.6,2025-03-12 15:24:00+00:00,2025-03-12 16:39:00+00:00
DOWN,2025-03-12 19:45:00+00:00,2025-03-13 11:52:00+00:00,69,-161.7,233.7,69.2,17.0,41437.2,41275.5,2025-03-12 19:45:00+00:00,2025-03-13 11:52:00+00:00
